n,Site,Vial Name,Cham,Sample,Window,Collection Date,BaitTemp1,BaitTemp2,BaitTemp3,BaitTemp4,RNA_conc,Isolation Date,CT_18s,CT_40,CT_70,CT_83,CDNA,dilution factor,vol cDNA for dilution,vol of water for dilution
47,DF,DF A1-C,1,2,C,20130910,28.6,30.6,29.4,30.4,2.57,20150729,18.237,31.597,25.107,27.271,1.285,5.14,9.727626459,40.27237354
171,HF,HF 3-1,3,1,,20130626,25,24.8,25.2,26.4,68,20150805,18.287,,,35.992,2.5,10,5,45
77,DF,DF A12-C,12,3,C,20130910,31.4,32.6,31.8,31.6,15.1,20150728,18.336,,29.725,31.042,2.5,10,5,45
86,DF,DF 15-C,15,3,B,20130910,30.2,30.4,30.4,30.2,7.71,20150729,18.578,30.253,25.072,27.646,2.5,10,5,45
36,DF,DF A12-C,12,3,C,20130702,24.2,24.2,25.2,24.8,20.8,20150730,18.724,33.294,26.974,31.609,2.5,10,5,45
166,HF,HF 1-2,1,2,,20130626,28.4,28.4,28.4,28.2,31.6,20150805,19.239,,,34.81,2.5,10,5,45
165,HF,HF 1-1,1,1,,20130626,24.4,24.8,25.4,25,86,20150807,19.318,,,32.683,2.5,10,5,45
12,DF,DF A4-A,4,3,A,20130702,23.8,23.8,24.2,23.8,17.3,20150731,19.501,,,33.506,2.5,10,5,45
3,DF,DF A1-A,1,3,B,20130702,25.2,25.2,25.2,25,14.8,20150731,20.438,,,31.266,2.5,10,5,45
187,HF,HF 9-2,9,2,,20130626,26,25.2,27.6,27.6,11,20150807,21.379,,,37.625,2.5,10,5,45
75,DF,DF A12-D,12,1,D,20130910,31.8,31.4,31.2,31.6,61,20150729,21.573,,28.549,30.693,2.5,10,5,45
53,DF,DF A3-A,3,2,A,20130910,29.6,30.2,30.6,30.6,9.53,20150730,21.767,,30.255,32.294,2.5,10,5,45
177,HF,HF 5-2,5,2,,20130626,26.4,26.2,26.2,27.4,5.44,20150807,23.902,,,34.447,2.5,10,5,45
57,DF,DF A4-A,4,3,A,20130910,27.6,27.4,27.6,27.8,21.6,20150730,24.276,,30.736,33.774,2.5,10,5,45
84,DF,DF 15-A,15,1,A,20130910,30.6,31.4,31.8,30.6,58.2,20150729,28.202,,31.198,33.115,2.5,10,5,45
42,DF,DF A14-B,14,3,C,20130702,23.8,23.8,23.4,23.8,86,20150731,29.699,,,35.483,2.5,10,5,45
50,DF,DF A2-B,2,2,B,20130910,25.8,26,26,26.2,26.8,20150729,29.715,30.106,25.696,27.868,2.5,10,5,45
7,DF,DF A3-B,3,1,B,20130702,23,23,23.6,23.2,16.5,20150730,29.813,,32.777,31.51,2.5,10,5,45
